date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1936-05-16 07:05:00,China,28.675,103.684,25.0,6.8,,0,0,550,0,0,1936,5,16,07:05:00
1936-08-01 06:24:00,China,34.2,105.7,,6.0,,0,0,144,0,0,1936,8,1,06:24:00
1936-08-17 00:00:00,China,26.6,103.0,,5.5,,0,0,30,0,0,1936,8,17,00:00:00
1936-08-23 21:12:00,Indonesia,5.296,94.759,35.0,7.1,tsunami,0,0,91,9,0,1936,8,23,21:12:00
1937-07-26 03:47:00,Mexico,18.523,-95.878,35.0,7.2,,0,0,34,0,0,1937,7,26,03:47:00
1937-07-31 20:35:00,China,35.25199999999999,115.153,25.0,6.9,,0,0,3833,0,0,1937,7,31,20:35:00
1937-08-20 11:59:00,Philippines,14.318,121.547,35.0,7.3,tsunami,0,0,1,0,0,1937,8,20,11:59:00
1937-12-23 13:18:00,Mexico,17.430999999999994,-98.287,35.0,7.4,,0,0,4,0,0,1937,12,23,13:18:00
1938-04-19 10:59:00,Turkey,39.439,34.015,35.0,6.8,,0,0,155,149,0,1938,4,19,10:59:00
1938-05-19 17:08:00,Indonesia,-0.366,119.525,49.4,7.5,tsunami,0,0,8,0,0,1938,5,19,17:08:00
1938-11-05 08:43:00,Japan,37.009,142.045,35.0,7.9,tsunami,0,0,1,0,0,1938,11,5,08:43:00
1939-01-25 03:32:00,Chile,-36.2,-72.2,0.0,7.7,,0,0,28000,30000,0,1939,1,25,03:32:00
1939-04-30 02:55:00,Solomon Islands,-9.295,159.234,35.0,7.9,tsunami,0,0,12,0,0,1939,4,30,02:55:00
